['老友记 第十季 Friends Season 10', '9.8', '41753', '2003-09-25(美国)']
['热天午后 Dog Day Afternoon', '8.6', '32599', '1975-09-21(美国)']
['雨人 Rain Man', '8.6', '199247', '1988-12-16(美国)']
['荒野生存 Into the Wild', '8.6', '118925', '2007-09-21(美国)']
['费城故事 Philadelphia', '8.6', '58032', '1993-12-22(美国)']
['ć\x98źé˘\x9cďź\x9aĺˇĽä˝\x9cć\x97Ľä¸\x8bĺ\x8d\x883ç\x82šç\x9a\x84ć\x81\x8bäşşäťŹ ć\x98źéĄ\x94ď˝\x9eĺšłć\x97Ľĺ\x8d\x88ĺž\x8c3ć\x99\x82ă\x81Žć\x81\x8bäşşă\x81\x9fă\x81Ąď˝\x9e', '8.6', '78538', '2014-07-17(ć\x97Ľć\x9cŹ)']
['十月的天空 October Sky', '8.6', '14867', '1999-02-19(美国)']
["情枭的黎明 Carlito's Way", '8.6', '16038', '1993-11-10']
['叫我第一名 Front of the Class', '8.6', '101384', '2008-12-07']
['面子 Saving Face', '8.6', '26645', '2004-09-12(多伦多电影节)']
['樱花盛开 Kirschblüten - Hanami', '8.6', '5631', '2008-03-06']
['岁月神偷 歲月神偷', '8.6', '290703', '2010-04-16(中国大陆)']
['甘地传 Gandhi', '8.6', '19238', '1982-12-03']
['母亲 母べえ', '8.6', '6332', '2008-01-26(日本)']
['光辉岁月 Remember the Titans', '8.6', '14251', '2000-09-29(美国)']
['内布拉斯加 Nebraska', '8.6', '31040', '2013-05-23(戛纳电影节)']
['寂寞芳心 Issız Adam', '8.6', '13150', '2008-11-07']
['想飞的钢琴少年 Vitus', '8.6', '24310', '2010-05-28(中国大陆)']
['面包和汤和猫咪好天气 パンとスープとネコ日和', '8.6', '26780', '2013-07-21(日本)']
['史崔特先生的故事 The Straight Story', '8.6', '10895', '1999-05-21(戛纳电影节)']
["不一样的天空 What's Eating Gilbert Grape", '8.6', '77616', '1993-12-17(美国)']
['老爷车 Gran Torino', '8.6', '45065', '2009-01-09(美国)']
['比海更深 海よりもまだ深く', '8.6', '39157', '2016-05-18(戛纳国际电影节)']
['蝴蝶 Le Papillon', '8.6', '90561', '2002-12-18(法国)']
['焦土之城 Incendies', '8.6', '15314', '2010-09-17']
['布达佩斯之恋 Gloomy Sunday - Ein Lied von Liebe und Tod', '8.6', '58211', '1999-10-21']
['音乐会 Le concert', '8.6', '12088', '2009-11-04(法国)']
['时空恋旅人 About Time', '8.6', '178014', '2013-09-04(英国)']
['断背山 Brokeback Mountain', '8.6', '300824', '2005-09-02(威尼斯电影节)']
['海街日记 海街diary', '8.6', '102999', '2015-05-14(戛纳电影节)']
['对她说 Hable con ella', '8.6', '52054', '2002-03-15(西班牙)']
['海边的曼彻斯特 Manchester by the Sea', '8.6', '106603', '2017-07(中国大陆)']
['小城之春', '8.6', '19436', '1948-09(中国大陆)']
['伊万的童年 Иваново детство', '8.6', '10722', '1962-04-06(苏联)']
['撞车 Crash', '8.6', '164378', '2004-09-10(多伦多电影节)']
['č\x8dźč\x98ź', '8.6', '13092', '2016-10-07(ĺ\x8f°ćšž)']
['彗星美人 All About Eve', '8.6', '9357', '1950-10-13']
["喜马拉雅 Himalaya - l'enfance d'un chef", '8.6', '8076', '1999-12-15(法国)']
['两小无猜 Melody', '8.6', '31968', '1971-04-21(英国)']
['人工智能 Artificial Intelligence: AI', '8.6', '178191', '2001-06-29(美国)']
["死亡医生 You Don't Know Jack", '8.6', '16886', '2010-04-14(美国)']
['热泪伤痕 Dolores Claiborne', '8.6', '5035', '1995-03-24(美国)']
['四分钟 Vier Minuten', '8.6', '7216', '2006-06-23(德国)']
['隐藏的恋情 Un amour à taire', '8.5', '5964', '2005-03-07(法国)']
['艾米 Amy', '8.5', '11328', '2015-05-16(戛纳电影节)']
['摇椅 Crac', '8.5', '7309', '1981']
['廊桥遗梦 The Bridges of Madison County', '8.5', '90014', '1995-06-02(美国)']
['桥 Most', '8.5', '6082', 'none']
['暗恋桃花源 暗戀桃花源', '8.5', '28399', '1992']
['隐藏人物 Hidden Figures', '8.5', '28869', '2016-12-25(美国)']
['模仿游戏 The Imitation Game', '8.5', '230226', '2015-07-21(中国大陆)']
['狼的孩子雨和雪 おおかみこどもの雨と雪', '8.5', '57335', '2012-07-21(日本)']
["敲开天堂的门 Knockin' on Heaven's Door", '8.5', '7595', '1997-02-20(德国)']
['编舟记 舟を編む', '8.5', '37520', '2013-04-13(日本)']
['迟开的向日葵 遅咲きのヒマワリ〜ボクの人生、リニューアル〜', '8.5', '10172', '2012-10-23(日本)']
['奈良美智和他的旅行记录 NARA:奈良美智との旅の記録', '8.5', '6307', '2007-02-24']
['麻将', '8.5', '19691', '1996-12-07']
["西部往事 C'era una volta il West", '8.5', '18055', '1968-12-21']
['走出非洲 Out of Africa', '8.5', '51014', '1985-12-10']
['战争之王 Lord of War', '8.5', '163351', '2005-09-16(美国)']
['花落花开 Séraphine', '8.5', '12856', '2008-09-07']
['被解救的姜戈 Django Unchained', '8.5', '241526', '2013-05-12(中国大陆)']
['洛奇 Rocky', '8.5', '22269', '1976-12-03(美国)']
['土拨鼠之日 Groundhog Day', '8.5', '57994', '1993-02-12(美国)']
['音乐永不停歇 The Music Never Stopped', '8.5', '8185', '2011-01-20(圣丹斯电影节)']
['十分钟年华老去：小号篇 Ten Minutes Older: The Trumpet', '8.5', '20053', '2002-05-18(戛纳电影节)']
['记忆碎片 Memento', '8.5', '260128', '2000-09-05(威尼斯电影节)']
['猜火车 Trainspotting', '8.5', '233467', '1996-02-23(英国)']
['机器管家 Bicentennial Man', '8.5', '45445', '1999-12-13(美国)']
['千年女优 千年女優', '8.5', '84873', '2001-07-28(加拿大奇幻电影节)']
['梵高：画语人生 Vincent Van Gogh: Painted with Words', '8.5', '9834', '2010-04-05(英国)']
['爱 Amour', '8.5', '46340', '2012-05-20(戛纳电影节)']
['安妮·霍尔 Annie Hall', '8.5', '41445', '1977-04-20']
['和声 하모니', '8.5', '36716', '2010-01-28']
['花火 HANA-BI', '8.5', '34362', '1997-09-03(威尼斯电影节)']
['解构爱情狂 Deconstructing Harry', '8.5', '5559', '1997-12-12']
['黑猫白猫 Црна мачка, бели мачор', '8.5', '9328', '1998-09-10']
['生命之门 Get Out', '8.5', '6712', '2010-01-01']
['日瓦戈医生 Doctor Zhivago', '8.5', '9770', '1965-12-31(美国)']
['回家的路 집으로 가는 길', '8.5', '24716', '2013-12-11(韩国)']
['狗脸的岁月 Mitt liv som hund', '8.5', '10591', '1985-12-12']
['悲惨世界 Les Misérables', '8.5', '203535', '2013-02-28(中国大陆)']
['关于我母亲的一切 Todo sobre mi madre', '8.5', '33086', '1999-04-08(西班牙首映)']
['K星异客 K-PAX', '8.5', '48962', '2001-10-26(美国)']
['朝圣之路 The Way', '8.5', '19090', '2010-11-19(西班牙)']
['天水围的日与夜 天水圍的日與夜', '8.5', '68298', '2008-07-17']
['昨天', '8.5', '19317', '2001-09-04(威尼斯电影节)']
['金色梦乡 ゴールデンスランバー', '8.5', '30455', '2010-01-30(日本)']
['ç\x9c\x9fç\x88ąč\x87łä¸\x8a Love Actually', '8.5', '293408', '2003-09-07(ĺ¤\x9aäźŚĺ¤\x9aç\x94ľĺ˝ąč\x8a\x82)']
['杀死一只知更鸟 To Kill a Mockingbird', '8.5', '27552', '1962-12-25(洛杉矶首映)']
['公民凯恩 Citizen Kane', '8.5', '43491', '1941-09-05(美国)']
['岁月的童话 おもひでぽろぽろ', '8.5', '66563', '1991-07-20(日本)']
['时时刻刻 The Hours', '8.5', '79187', '2002-12-27(美国)']
['飓风 The Hurricane', '8.5', '5299', '1999-12-14(美国)']
['邦尼和琼 Benny & Joon', '8.5', '14836', '1993-04-16']
['远山的呼唤 遥かなる山の呼び声', '8.5', '5318', '1980-03-15(日本)']
['午夜狂奔 Midnight Run', '8.5', '7598', '1988-07-20']
['哪啊哪啊神去村 WOOD JOB！神去なあなあ日常', '8.5', '77366', '2014-05-10(日本)']
['自由作家 Freedom Writers', '8.5', '10926', '2007-01-05']
['二手狮王 Secondhand Lions', '8.5', '11029', '2003-09-19']
['黑天鹅 Black Swan', '8.5', '392433', '2010-09-01(威尼斯电影节)']
['再次出发之纽约遇见你 Begin Again', '8.5', '150321', '2015-06-26(中国大陆)']
['美国X档案 American History X', '8.5', '62032', '1998-10-30']
['开心家族 헬로우 고스트', '8.5', '122356', '2011-11-29(中国大陆)']
['柏林苍穹下 Der Himmel über Berlin', '8.5', '21085', '1987-09-23(法国)']
['某个旅人的日记 或る旅人の日記', '8.5', '19070', '2003']
['麦兜故事 麥兜故事', '8.5', '119100', '2001-12-15']
['遗愿清单 The Bucket List', '8.5', '114900', '2007-12-25(多伦多电影节)']
["水牛城66 Buffalo '66", '8.5', '21405', '1998-06-26']
['莫斯科不相信眼泪 Москва слезам не верит', '8.5', '8074', '1980-02-11(苏联)']
['贫民窟的百万富翁 Slumdog Millionaire', '8.5', '377841', '2009-03-26(中国大陆)']
['血钻 Blood Diamond', '8.5', '118051', '2006-12-08(美国)']
['11度青春之《老男孩》', '8.5', '204762', '2010-10-28']
['阿飞正传 阿飛正傳', '8.5', '164290', '1990-12-15(香港)']
['心灵点滴 Patch Adams', '8.5', '6658', '1998-12-25(美国)']
['月球 Moon', '8.5', '131346', '2009-07-17']
['东京地震8.0 東京マグニチュード8.0', '8.5', '6833', '2009-07-09']
['余生的第一天 Le premier jour du reste de ta vie', '8.5', '11915', '2008-07-23(法国)']
['转转 転々', '8.5', '11720', '2007-11-10(日本)']
['迫在眉梢 John Q', '8.5', '28533', '2002-02-15(美国)']
['克莱默夫妇 Kramer vs. Kramer', '8.5', '37000', '1979-12-19(美国)']
['少爷 坊っちゃん', '8.5', '8577', '2016-01-03(日本)']
['朗读者 The Reader', '8.5', '264099', '2008-12-10(纽约首映)']
['过年', '8.5', '11393', '1991-02-12']
['阿郎的故事', '8.5', '56609', '1989-03-16(香港)']
['这个男人来自地球 The Man from Earth', '8.5', '162196', '2007-11-13(美国)']
['新世界 신세계', '8.5', '70507', '2013-02-21(韩国)']
['百万美元宝贝 Million Dollar Baby', '8.5', '93268', '2004-12-15(美国)']
["ĺ°\x91ĺš´ć\x96Żć´žçť´ç\x9a\x84ĺĽ\x87ĺź\x82ć\x97\x85čĄ\x8c L'extravagant voyage du jeune et prodigieux T.S. Spivet", '8.5', '68249', '2013-10-16(ćł\x95ĺ\x9b˝)']
['恋恋风尘 戀戀風塵', '8.5', '34221', '1987-09-13(多伦多电影节)']
['光荣之路 Glory Road', '8.5', '20528', '2006-01-13(美国)']
['恋恋笔记本 The Notebook', '8.5', '261613', '2004-06-25(美国)']
['少年时代 Boyhood', '8.5', '128987', '2014-01-19(圣丹斯电影节)']
['万箭穿心', '8.5', '73832', '2012-11-16(中国大陆)']
['闪亮的风采 Shine', '8.5', '8224', '1996-01-21(圣丹斯电影节)']
['12怒汉：大审判 12', '8.5', '23077', '2007-09-20(俄罗斯)']
['细路祥 細路祥', '8.5', '8518', '1999-12-30(香港)']
['春夏秋冬又一春 봄 여름 가을 겨울 그리고 봄', '8.5', '53832', '2003-08-14(洛迦诺电影节)']
['茜茜公主 Sissi', '8.5', '70789', '1955-12-22(西德)']
['世界上最疼我的那个人去了', '8.5', '9112', '2002-08']
['我的名字叫可汗 My Name Is Khan', '8.5', '43147', '2010-11-30(中国大陆)']
['花样年华 花樣年華', '8.5', '226346', '2000-05-20(戛纳电影节)']
['启示 Apocalypto', '8.5', '42631', '2006-12-08(美国)']
['茜茜公主3 Sissi - Schicksalsjahre einer Kaiserin', '8.5', '20548', '1957-12-19(西德)']
['与青春有关的日子', '8.4', '16723', '2006-03-27(中国大陆)']
['蓝白红三部曲之蓝 Trois couleurs: Bleu', '8.4', '64079', '1993-09-08(法国)']
['荒岛余生 Cast Away', '8.4', '121365', '2000-12-22(美国)']
["比利·林恩的中场战事 Billy Lynn's Long Halftime Walk", '8.4', '176805', '2016-11-11(美国/中国大陆)']
['我的青春恋爱物语果然有问题 やはり俺の青春ラブコメはまちがっている。', '8.4', '7010', '2013-04-04(日本)']
['喜剧之王 喜劇之王', '8.4', '282272', '1999-02-13(香港)']
['单身男子 A Single Man', '8.4', '64305', '2009-12-11']
['摩托日记 Diarios de motocicleta', '8.4', '32194', '2004-01-15(圣丹斯电影节)']
['打工仔的梦想房 フリーター、家を買う。', '8.4', '17002', '2010-10-19(日本)']
['盖章 Validation', '8.4', '7562', '2007']
['八部半 8½', '8.4', '20909', '1963-02-15(意大利)']
['绿洲 오아시스', '8.4', '12863', '2002-08-09']
['傲慢与偏见 Pride & Prejudice', '8.4', '280397', '2005-09-16(英国)']
['大河恋 A River Runs Through It', '8.4', '43238', '1992-09-13']
['蓝白红三部曲之白 Trois couleurs: Blanc', '8.4', '49497', '1994-01-26']
['周围的事 ぐるりのこと。', '8.4', '6106', '2008-06-07']
['祖与占 Jules et Jim', '8.4', '19400', '1962-01-23(法国)']
['香水 Perfume: The Story of a Murderer', '8.4', '258123', '2006-09-07(德国)']
['杰出公民 El ciudadano ilustre', '8.4', '16081', '2016-09-04(威尼斯电影节)']
['盗钥匙的方法 鍵泥棒のメソッド', '8.4', '69456', '2012-06-17(上海国际电影节)']
['美国丽人 American Beauty', '8.4', '171009', '1999-09-08(洛杉矶首映)']
["棋逢敌手 Geri's Game", '8.4', '39366', '1997-11-25']
['那山那人那狗', '8.4', '43603', '1999(中国大陆)']
['ĺ\x8f\x91ć\x9dĄćŠ\x99 A Clockwork Orange', '8.4', '173305', '1971-12-19(çş˝çşŚéŚ\x96ć\x98\xa0)']
['阮玲玉', '8.4', '43512', '1991-11-29(台湾)']
['喜福会 The Joy Luck Club', '8.4', '19732', '1993-09-08']
['角斗士 Gladiator', '8.4', '120408', '2000-05-05']
['第八日 Le huitième jour', '8.4', '5994', '1996-05-22']
['了不起的狐狸爸爸 Fantastic Mr. Fox', '8.4', '104331', '2009-10-25(美国)']
['归途列车', '8.4', '9548', '2010-09-03(中国大陆)']
['篮球小皇帝 More Than a Game', '8.4', '5106', '2008-09-06(多伦多电影节)']
['弱点 The Blind Side', '8.4', '98123', '2009-11-20']
['紫色 The Color Purple', '8.4', '9633', '1985-12-18(美国)']
['老爸老妈的浪漫史 第九季 How I Met Your Mother Season 9', '8.4', '14796', '2013-09-23(美国)']
['麦兜·当当伴我心 麥兜‧噹噹伴我心', '8.4', '75024', '2012-07-10(中国大陆)']
['出租车司机 Taxi Driver', '8.4', '97162', '1976-02-08(美国)']
['艾草', '8.4', '5049', '2008-06-08(台湾)']
['癫佬正传 癲佬正傳', '8.4', '6765', '1986-06-05(香港)']
['屋顶上的童年时光 Anche libero va bene', '8.4', '6194', '2006-05-05']
['画之国 Le tableau', '8.4', '5090', '2011-11-23(法国)']
['艺术家 The Artist', '8.4', '73841', '2012-12-28(中国大陆)']
['菲洛梅娜 Philomena', '8.4', '18143', '2013-08-31(威尼斯电影节)']
['秋天的童话 秋天的童話', '8.4', '43375', '1987-07-16']
['逍遥骑士 Easy Rider', '8.4', '9089', '1969-05-08']
['猎鹿人 The Deer Hunter', '8.4', '17458', '1978-12-08(美国)']
['神奇飞书 The Fantastic Flying Books of Mr. Morris Lessmore', '8.4', '15970', '2011-01-30(圣巴巴拉电影节)']
['第十三层 The 13th Floor', '8.4', '5817', '1988-05(戛纳电影节)']
['盗火线 Heat', '8.4', '61612', '1995-12-15(美国)']
['不可饶恕 Unforgiven', '8.4', '29468', '1992-08-03(美国)']
['丹麦诗人 The Danish Poet', '8.4', '11467', '2006-02-15']
['她比烟花寂寞 Hilary and Jackie', '8.4', '89680', '1998-12-30']
['高三', '8.4', '26242', '2005-11']
['秒速5厘米 秒速5センチメートル', '8.4', '270982', '2007-03-03(日本)']
['火车火车过山洞 Zeinek Gehiago Iraun', '8.4', '7170', '2012-03-28(美国)']
['黄海 황해', '8.4', '73738', '2010-12-22(韩国)']
['奔腾年代 Seabiscuit', '8.4', '23521', '2003-07-25(美国)']
['东京日和 東京日和', '8.4', '11280', '1997-10-18']
['弗兰西丝·哈 Frances Ha', '8.4', '17791', '2012-09-01(特柳赖德电影节)']
['激辩风云 The Great Debaters', '8.4', '16869', '2007-12-25(美国)']
['推手', '8.4', '59328', '1991-12-07(金马影展)']
['爱乐之城 La La Land', '8.3', '290750', '2017-02-14(中国大陆)']
['地球之夜 Night on Earth', '8.3', '10733', '1991-12-12']
['精疲力尽 À bout de souffle', '8.3', '15879', '1960-03-16(法国)']
['如父如子 そして父になる', '8.3', '47503', '2013-09-28(日本)']
['铁皮鼓 Die Blechtrommel', '8.3', '29683', '1979-05-03']
['冥王星早餐 Breakfast on Pluto', '8.3', '9681', '2005-09-03']
['换子疑云 Changeling', '8.3', '94910', '2008-10-31(美国)']
['ĺˇ´č\x8f˛ç\x9a\x84ĺĽ\x87ĺŚ\x99ĺ\x91˝čż\x90 Barfi!', '8.3', '7795', '2012-09-14(ĺ\x8d°ĺşŚ)']
['更好的世界 Hævnen', '8.3', '19065', '2010-08-26(丹麦)']
['亲爱的', '8.3', '241076', '2014-09-25(中国大陆)']
['大空港2013', '8.3', '10264', '2013-12-29(日本)']
['世上最美的离别 세상에서 가장 아름다운 이별', '8.3', '19517', '2011-04-20(韩国)']
["秋天的故事 Conte d'automne", '8.3', '6628', '1998-09-16']
['愤怒的公牛 Raging Bull', '8.3', '27731', '1980-11-14']
['每个孩子 Every Child', '8.3', '12687', 'none']
['超时空接触 Contact', '8.3', '47657', '1997-07-11']
['顽主', '8.3', '36519', '1989-09-15(多伦多电影节)']
['手机', '8.3', '11792', '2010-05-10(中国大陆)']
["ĺˇ´éť\x8eďź\x8cć\x88\x91ç\x88ąä˝\xa0 Paris, je t'aime", '8.3', '117573', '2006-05-18(ć\x88\x9bçşłç\x94ľĺ˝ąč\x8a\x82)']
['红猪 紅の豚', '8.3', '86396', '1992-07-18']
['子弹横飞百老汇 Bullets Over Broadway', '8.3', '7610', '1994-10-14']
['我的左脚 My Left Foot', '8.3', '8900', '1989-09-13']
['在世界转角遇见爱 Светът е голям и спасение дебне отвсякъде', '8.3', '12422', '2008-10-10']
['诗 시', '8.3', '14051', '2010-05-13(韩国)']
['曾经 Once', '8.3', '191597', '2006-07-15']
['季春奶奶 계춘할망', '8.3', '25344', '2016-05-19(韩国)']
['摔角王 The Wrestler', '8.3', '31037', '2008-12-17']
['我曾侍候过英国国王 Obsluhoval jsem anglického krále', '8.3', '10532', '2006-12-19']
['新不了情', '8.3', '39058', '1993-11-11(香港)']
['玫瑰人生 La Môme', '8.3', '49964', '2007-02-08(柏林电影节)']
['源代码 Source Code', '8.3', '380194', '2011-08-30(中国大陆)']
["缺席的人 The Man Who Wasn't There", '8.3', '10749', '2001-10-26']
['八月迷情 August Rush', '8.3', '119169', '2009-01-23(中国大陆)']
['恋恋三季 Three Seasons', '8.3', '7854', '1999-04-30']
['奇怪的她 수상한 그녀', '8.3', '114281', '2014-01-22(韩国)']
['在人生的另一边 Auf der anderen Seite', '8.3', '5487', '2007-09-27']
['铁道员 鉄道員', '8.3', '5804', '1999-06-05']
["真爱满行囊 Je m'appelle Elisabeth", '8.3', '7309', '2006-11-15']
['萨利机长 Sully', '8.3', '120065', '2016-12-09(中国大陆)']
['朱丽叶与梁山伯', '8.3', '13277', '2000-03-02']
['麦兜我和我妈妈 麥兜‧我和我媽媽', '8.3', '38827', '2014-10-01(中国大陆/香港)']
['大红灯笼高高挂', '8.3', '89749', '1991-09-10(威尼斯电影节/多伦多电影节)']
['好家伙 Goodfellas', '8.3', '50724', '1990-09-09(威尼斯电影节)']
['我的个神啊 PK', '8.3', '159234', '2015-05-22(中国大陆)']
['钢的琴', '8.3', '162702', '2011-07-15(中国大陆)']
['卡特教练 Coach Carter', '8.3', '17646', '2005-01-14']
['狗镇之主 Lords of Dogtown', '8.3', '5613', '2005-06-03']
['平常的心 The Normal Heart', '8.3', '35213', '2014-05-25(美国)']
['灵魂歌王 Ray', '8.3', '10834', '2004-05-29']
['欲望号街车 A Streetcar Named Desire', '8.3', '21090', '1951-09-18(加州首映)']
['辉夜姬物语 かぐや姫の物語', '8.3', '37577', '2013-11-23(日本)']
['爷爷的煤油灯 おぢいさんのランプ', '8.3', '5531', '2011-03-05(日本)']
['搭错车', '8.3', '7395', '1983']
['深海长眠 Mar adentro', '8.3', '14454', '2004-09-03(西班牙)']
['白日梦想家 The Secret Life of Walter Mitty', '8.3', '134291', '2013-12-25(美国)']
['头朝下的生活 Head Over Heels', '8.3', '14852', '2012-05-24(戛纳电影节)']
['她 Her', '8.3', '209814', '2013-10-12(纽约电影节)']
['曼哈顿 Manhattan', '8.3', '15962', '1979-04-25']
['你还可爱么 你還可愛麼', '8.3', '6897', '2011-04-22']
['ć\x80\x9dć\x82ź ě\x82Źë\x8f\x84', '8.3', '40061', '2015-09-16(é\x9fŠĺ\x9b˝)']
['黑暗中的舞者 Dancer in the Dark', '8.3', '62441', '2000-09-08']
["国王的演讲 The King's Speech", '8.3', '313092', '2012-02-24(中国大陆)']
['第七封印 Det sjunde inseglet', '8.3', '24010', '1957-02-16']
['最佳出价 La migliore offerta', '8.3', '55804', '2013-01-01(意大利)']
['风柜来的人 風櫃來的人', '8.3', '16224', '1983(台湾)']
['永不妥协 Erin Brockovich', '8.3', '42711', '2000-03-17']
['不能没有你', '8.3', '28373', '2009-08-14']
['印式英语 English Vinglish', '8.3', '12286', '2012-10-05(印度)']
["巴尼的人生 Barney's Version", '8.3', '7836', '2010-12-24(加拿大)']
['异次元骇客 The Thirteenth Floor', '8.3', '46994', '1999-05-28(美国)']
['海鸥食堂 かもめ食堂', '8.3', '38975', '2006-03-11(日本)']
['幻之光 幻の光', '8.3', '5729', '1995-12-09(日本)']
['黑洞频率 Frequency', '8.3', '55728', '2000-04-28(美国)']
['米尔克 Milk', '8.3', '41513', '2008-11-26(美国)']
['午夜牛郎 Midnight Cowboy', '8.3', '12875', '1969-05-25(纽约首映)']
['心房客 Asphalte', '8.3', '14449', '2015-10-07(法国)']
['百元之恋 百円の恋', '8.3', '64609', '2014-12-20(日本)']
['人生七部曲 The Meaning of Life', '8.3', '5829', '1983-03-31']
['小武', '8.3', '52852', '1998-02-18(柏林电影节)']
['告别有情天 The Remains of the Day', '8.3', '6756', '1993-11-12(英国)']
['心底的逆流 Contracorriente', '8.3', '5973', '2010-08-26(秘鲁)']
['非法入境 Welcome', '8.3', '5298', '2009-03-11']
['鸟人 Birdy', '8.3', '12837', '1984-12-21']
['安奈的眼睛 An Eye For Annai', '8.3', '14315', '2009-01-01']
['爱在暹罗 รักแห่งสยาม', '8.3', '208528', '2007-11-22']
['宅 Killing Time at Home', '8.3', '29806', '2003-10-03(英国)']
['待业青年', '8.3', '22601', '2010-02-10']
['胭脂扣', '8.3', '121959', '1988-01-07']
['金氏漂流记 김씨 표류기', '8.3', '30200', '2009-05-14(韩国)']
['一个字头的诞生 一個字頭的誕生', '8.3', '29463', '1997-03-14(香港)']
["ĺ§\x90ĺ§\x90ç\x9a\x84ĺŽ\x88ć\x8a¤č\x80\x85 My Sister's Keeper", '8.3', '48230', '2009-06-26']
['第八日的蝉 八日目の蟬', '8.3', '14044', '2011-04-29(日本)']
['黑皮书 Zwartboek', '8.3', '42906', '2009-02-03(中国大陆)']
["苏菲的抉择 Sophie's Choice", '8.3', '8589', '1982-12-08']
['国际市场 국제시장', '8.3', '30577', '2014-12-17(韩国)']
['麦克法兰 McFarland, USA', '8.3', '13427', '2015-02-20(美国)']
['移魂女郎 Girl, Interrupted', '8.3', '20674', '1999-12-08(美国首映)']
['盲山', '8.2', '58518', '2007-05-20(戛纳电影节)']
['普罗旺斯的夏天 Avis de mistral', '8.2', '17582', '2014-04-02(法国)']
['为黛西小姐开车 Driving Miss Daisy', '8.2', '18138', '1989-12-13']
['初恋这首情歌 Sing Street', '8.2', '43631', '2016-03-18(爱尔兰)']
['十分钟年华老去：大提琴篇 Ten Minutes Older: The Cello', '8.2', '12199', '2002-09-03']
['爱情是狗娘 Amores perros', '8.2', '32129', '2000-06-16(墨西哥)']
['ć\x8a\x95é\x9d\xa0ĺĽłä¸\x8eĺ\x87şčľ°ç\x94ˇ é§\x86čžźă\x81żĺĽłă\x81¨é§\x86ĺ\x87şă\x81\x97ç\x94ˇ', '8.2', '10024', '2015-05-16(ć\x97Ľć\x9cŹ)']
['某人的目光 だれかのまなざし', '8.2', '10285', '2013-05-31(日本)']
['小小的白色谎言 Les petits mouchoirs', '8.2', '12237', '2010-10-20(法国)']
['ĺĽ\x91ĺ\x85\x8b Tschick', '8.2', '5780', '2016-09-15(ĺžˇĺ\x9b˝)']
['逆光飞翔 逆光飛翔', '8.2', '67622', '2013-06-08(中国大陆)']
['桃姐', '8.2', '184555', '2012-03-08(中国大陆)']
['杀戮 Carnage', '8.2', '38072', '2011-09-01(威尼斯电影节)']
